protein,n_present,mean_abundance
A0A024R5G9,30,2382.5528416951497
A0A024R6N5,287,363420.51680231927
A0A075B6H7,269,142951.6065170118
A0A075B6H9,107,4173.829315470758
A0A075B6I0,180,54223.527772352434
A0A075B6I4,39,579.2904330522587
A0A075B6I9,171,16442.539855600102
A0A075B6J9,56,11809.272944859096
A0A075B6K0,135,11491.394325312862
A0A075B6K4,148,7143.380293253305
A0A075B6K5,167,10844.545360679398
A0A075B6R2,59,5834.583988512976
A0A075B6R9,198,18093.033529435746
A0A075B7D0,111,18383.36465756528
A0A075B7E8,228,32117.95353216874
A0A087WSY5,286,38835.29245229868
A0A087WSY6,164,12036.076694953732
A0A087WT59,288,916231.2138807508
A0A087WT78,232,5521.980384563578
A0A087WTB6,59,1755.631645073325
A0A087WTS4,149,4709.414606388783
A0A087WU13,187,255927.67233329406
A0A087WVQ6,25,2108.085385131836
A0A087WWD4,165,4121.35839547822
A0A087WWU8,232,22577.368521723252
A0A087WXI2,251,4944.018378147566
A0A087X0I3,254,31631.149562084767
A0A087X0M8,257,3567.279188222922
A0A087X0S5,75,929.0866847054164
A0A096LPE2,287,86227.11685744229
A0A0A0MRJ7,287,17722.592917412414
A0A0A0MRN1,75,54243.707692871096
A0A0A0MRZ8,271,71187.82965583379
A0A0A0MS09,117,12424.0828252287
A0A0A0MS15,134,5379.97435868676
A0A0A0MSA9,274,8202.260186188412
A0A0A0MSD3,108,3849.5009940818504
A0A0A0MSN4,107,6490.050319778585
A0A0A0MSV6,287,188354.301822463
A0A0A0MT36,64,3948.8821272850037
A0A0A0MTH3,170,19218.05091007457
A0A0B4J1U7,229,41349.339115692535
A0A0B4J1V0,274,64289.2984662578
A0A0B4J231,228,30514.73774940089
A0A0B4J2B5,279,52142.94194572203
A0A0B4J2H0,50,4729.68155456543
A0A0C4DFP6,282,19466.894352635594
A0A0C4DG40,15,1733.4514027913413
A0A0C4DG89,275,24568.238746448864
A0A0C4DGB6,139,14592.153916393252
A0A0C4DGG0,285,326119.45278063323
A0A0C4DGH5,84,7516.5079022362115
A0A0C4DH24,101,4655.585495750503
A0A0C4DH25,235,43939.36915867582
A0A0C4DH34,47,4211.862467015043
A0A0C4DH35,24,4986.53630065918
A0A0C4DH36,48,5875.750906626384
A0A0C4DH38,78,1675.6712110470503
A0A0C4DH41,91,12819.736371218503
A0A0C4DH43,167,23288.049455836863
A0A0C4DH67,122,10714.716114231798
A0A0C4DH73,126,5805.0811610146175
A0A0G2JJG8,90,79847.51856773165
A0A0G2JMB2,287,779998.6259442372
A0A0G2JPR0,284,68907.57050334231
A0A0G2JS06,41,1161.4161972418065
A0A0G2JS85,53,1214.316952615414
A0A0J9YWE8,131,2533.9406346910782
A0A0J9YX35,49,7947.3205255002395
A0A0J9YXX1,120,16839.815861256917
A0A0S2Z4L3,287,254765.3148954704
A0A140T8Y3,235,3737.6432896390875
A0A140T921,158,4417.943588739709
A0A140T9Z0,62,14257.831297843686
A0A182DWH7,287,127410.1482877831
A0A1B0GTL5,44,7366.080275102096
A0A1B0GTU7,133,74546.49808725917
A0A1B0GU03,89,4789.48787423466
A0A1B0GVI3,27,59392.9961344401
A0A1B0GX98,286,114025.9792156086
A0A1W2PP29,195,5428.36584378756
A0A1W2PS24,13,730.6809457632212
A0A2H4UKA7,171,24755.88178900111
A0A2R8Y4I3,84,1173.2446819089707
A0A2R8Y5W7,236,13830.262542627626
A0A2R8Y6V8,53,3387.35853893352
A0A2R8Y793,267,304651.8916460244
A0A2R8YD63,22,5828.708120172674
A0A2U3TZL5,35,739.3646232060024
A0A3B3IQ51,282,50162.36165970606
A0A3B3IRU6,2,88.70671272277832
A0A3B3IS80,159,2370.948871732508
A0A3B3ISR2,287,74300.81484783319
A0A3B3ISU3,46,9418.6920305335
A0A3F2YNX7,129,19367.558413956518
A0A494C165,222,5074.482381047429
A0A5F9UY30,83,474.3194683948195
A0A5F9ZH82,204,163680.59334309897
A0A5F9ZHM4,260,37057.83963200496
A0A669KBC7,13,1824.1083350548377
A0A669KBE7,253,9071.031389922493
A0A6Q8PFK8,106,7478.2896331211305
A0A7I2V2D2,287,1451348.1300087108
A0A7I2V2F9,121,2869.7033826339343
A0A7I2V2R5,62,2790.614496046497
A0A7I2V381,31,445.7243433306294
A0A7I2YQQ3,140,1391.6273087493012
A0A7P0MNE9,283,1392045.0536039642
A0A7P0T7U3,97,1439.0363217383315
A0A7P0T861,182,3073.05130977421
A0A7P0T8D1,287,598759.359375
A0A7P0T937,130,4758.9754690317
A0A7P0T9F7,13,2756.185312124399
A0A7P0TAG0,232,16824.284937628385
A0A7P0TBD9,18,343.13390180799695
A0A7P0TBP9,82,4683.174457829173
A0A804HHZ3,17,672.3785777372473
A0A804HI41,53,3594.764668014814
A0A804HII9,221,7695.633088539089
A0A804HKV3,259,18429.927575718943
A0A8I5KNU9,205,6047.02949695122
A0A8I5KQ98,255,16644.237239104626
A0A8I5KW61,286,185872.2969680466
A0A8I5KWT8,234,30153.754090920473
A0A8I5QJ45,195,9661.905521647135
A0A8Q3SI22,274,70788.95664320896
A0A8Q3SI95,287,333242.48425420566
A0A8Q3SI99,214,8129.162537476726
A0A8Q3SIA1,287,743811.3972942074
A0A8Q3SID6,287,181426.14184995645
A0A8Q3WKR3,150,3208.8497336832684
A0A8Q3WKT7,287,89374.47978991998
A0A8Q3WKW0,287,41963.272024972095
A0A8Q3WL25,287,172336.30977617324
A0A8Q3WL37,154,4566.066042615222
A0A8Q3WL56,287,41314.73532434124
A0A8V8TKR9,243,16449.677557674455
A0A8V8TLK7,287,14387.421760585665
A0A8V8TLP6,65,15425.936701847957
A0A8V8TLX5,201,20518.6938032843
A0A8V8TMD7,241,34667.69423944624
A0A8V8TN35,65,16857.49278094952
A0A8V8TNA3,282,10291.258748101849
A0A8V8TNB8,285,24120.13393768846
A0A8V8TND7,134,2333.5066269831873
A0A8V8TNT7,127,6053.006715789555
A0A8V8TNX9,219,8094.347214964427
A0A8V8TP45,279,14670.01465275809
A0A8V8TP51,236,5590.672929149563
A0A994J3Q8,168,4632.224582331522
A0A994J439,287,54876.75128152561
A0A994J595,117,3217.2606091621597
A0A994J6L7,33,4231.4734293619795
A0A9H3ZR93,275,108034.05339533025
A0A9L9PXD9,231,4412.00938719382
A0A9L9PXQ4,276,39482.05848406363
A0A9L9PYL3,82,3302.42678646925
A0AA34QVJ5,223,2696.521939196394
A0AAG2SXZ4,38,2292.82042533473
A0AAG2T928,256,40986.48470777273
A0AAG2T961,260,27283.577500798154
A0AAG2UUW0,287,424945.7850218451
A0AAG2UW65,168,2756.216323307582
A0AAG2UYC2,87,1592.4808417572372
A0AAQ5BGZ7,200,28495.832123565673
A0AAQ5BH63,56,7501.635668073382
A0AAQ5BI58,47,503.63350767277655
A0ABB0MV26,39,1670.3582775409404
A0ABB0MV72,26,926.8540983933669
A0ABJ7H2Z4,138,1943.2520953192227
A0ABJ7H2Z9,239,6454.9151191232595
A5YKK6,85,1118.7677253751194
A6NGN6,10,67190.230224609375
A6NM62,133,3584.224685324762
A6PVI2,287,451843.60295078397
A6XND0,287,59912.30937976372
B0QY07,87,16084.037471376616
B0QYF7,11,390.6998651677912
B0YIW2,287,3095342.523845819
B1AH94,285,60282.43726099918
B1AHL2,284,16462.39243042637
B1AK87,111,2489.3144138095613
B1APY4,158,27575.449262788024
B4DJF2,11,5230.734247381037
B4DQU5,61,1822.626437828189
B4DV12,235,4320.479078544455
B4DZB7,273,11647.871247120393
B4E1Z4,287,647490.4771205357
B4E3S0,145,4376.647959321121
B5MC96,68,86854.48379516602
B7Z8R2,29,14851.504950161638
B7Z9C2,93,5071.794933688256
B7ZKJ8,282,11100.856520382225
B8ZZL8,49,47425.81275566257
C9IZP8,171,2984.37866924799
C9J4W5,19,750.5801604421515
C9J6K0,40,774.0062671661377
C9J9W2,94,6466.1866750514255
C9JD84,132,1872.766969615763
C9JEE0,118,7551.433969788633
C9JEU5,38,2455.3022842407227
C9JFR7,91,1461.3895687899746
C9JHR8,69,1148.1524173902428
C9JKT8,25,694.1679681396485
C9JL85,159,3021.8195095362153
C9JME2,37,93776.74621087151
C9JPQ9,132,7068.775970458984
C9K028,83,2277.962874447007
D6R9W4,24,933.896068572998
D6RF83,10,1564.8844940185547
D6RG31,37,1891.8968373891469
E5RH35,39,1320.4122040577424
E5RHD2,27,2484.421249954789
E5RHG6,20,1633.8587661743163
E5RHZ8,10,582.046597290039
E7EMV8,6,185.28994035720825
E7END6,287,9798.098281594519
E7ENV7,28,2003.6790324619838
E7EQ64,288,670530.3914116754
E7ERT8,141,41892.94500948858
E7ES19,189,2558.5492064460877
E7ETH0,287,111408.00247032884
E7EU05,44,9114.442085959694
E7EUF1,151,2300.0420867717817
E7EUT5,227,10768.46125542645
E7EX60,179,2397.9367945154286
E9PEW8,90,11692.642378743489
E9PG15,91,3165.4349774371135
E9PG40,16,6065.439613342285
E9PGZ1,119,2212.8919895717077
E9PHK0,287,48673.08413919588
E9PKW2,127,6497.229914147084
E9PKX1,36,7644.84612443712
E9PN78,162,11895.314562573845
E9PP21,96,3911.746704737345
F5GY03,215,4524.952865387672
F5GYK7,73,2534.106291731743
F5H2R5,27,2266.2187138310187
F5H6X6,37,1562.0074994886243
F5H810,165,4034.484348921342
F5H8B0,234,5589.733935625125
F8VP44,203,13979.852786980238
F8VZY9,178,1734.328990325499
F8W1R7,245,27654.203694993623
F8WCF6,118,2719.50855112884
F8WD03,276,67870.77726281207
G3V1D7,41,874.4215095333936
G3V2W1,285,15713.135924436336
G3V3A0,273,140461.63807270204
G3XAK1,282,17927.370189477366
G3XAP6,284,12475.21060610489
H0Y2P0,188,20174.766212301052
H0Y512,247,3381.699984531171
H0YAC1,287,57000.02884347098
H0YG79,234,35452.450822324834
H0YH81,78,4664.377919722826
H0YJV2,208,125807.90641432542
H3BM38,138,2441.080195883046
H3BR66,221,3056.155930152306
H3BRY5,89,1956.0196372900116
H7BXY5,75,4841.417409261067
H7BY64,162,1650.142834039382
H7BYT7,62,40394.26144999843
H7BYY1,175,6743.033875732422
H7C3F9,34,991.7963831284467
I3L145,281,21774.76261076469
I3L3H7,105,1975.4771840413412
I3L4N8,287,246909.93686455383
J3KNB4,255,7062.078766108494
