protein,n_present_tears,mean_abundance_tears,n_present_plasma,mean_abundance_plasma,log2FC,class
A0A075B6H7,8,2038633750,269,142951.6065170118,13.799778066546907,tear-enriched
A0A075B6K4,7,20218771.42857143,148,7143.380293253305,11.466598910294959,tear-enriched
A0A075B6K5,8,296381750,167,10844.545360679398,14.738066399671379,tear-enriched
A0A0A0MRZ8,8,1303219375,271,71187.82965583379,14.160069549722664,tear-enriched
A0A0A0MS15,8,224387125,134,5379.97435868676,15.34776294738186,tear-enriched
A0A0C4DH25,5,114640160,235,43939.36915867582,11.349277929969931,tear-enriched
A0A0C4DH35,8,169104875,24,4986.53630065918,15.049231392005266,tear-enriched
A0A0C4DH38,8,57515075,78,1675.6712110470503,15.066052738585174,tear-enriched
A0A0C4DH41,8,194222375,91,12819.736371218503,13.886942673201965,tear-enriched
A0A0J9YX35,8,90079587.5,49,7947.3205255002395,13.468262564330397,tear-enriched
O00151,8,89719325,223,7423.9974725150205,13.560740627215134,tear-enriched
O00299,8,55231512.5,211,9409.961566943128,12.518861903283925,tear-enriched
O00391,8,101352550,287,29438.821542773097,11.74932585467754,tear-enriched
P00338,8,538053375,219,3190.268013453375,17.363259996527457,tear-enriched
P00450,8,601925125,287,1531059.5621869555,8.618908879012793,tear-enriched
P00558,8,259199250,87,1929.3573400097332,17.034834085618442,tear-enriched
P00734,8,44796950,287,1027459.4882948606,5.446245721702205,tear-enriched
P00738,8,1162028625,287,858166.7258836699,10.403098343819341,tear-enriched
P01008,8,97541700,287,842710.6775642422,6.854836204152107,tear-enriched
P01009,8,993476125,248,12622.080174353814,16.264133691175644,tear-enriched
P01011,8,307174250,287,301254.5918240963,9.993853550818791,tear-enriched
P01023,8,522501875,286,572272.8320141772,9.834514862506595,tear-enriched
P01024,8,682587125,287,2183651.7728658537,8.288125925800792,tear-enriched
P01033,8,64301875,129,9135.20018301084,12.780978946286966,tear-enriched
P01034,8,308793500,287,38726.27468032039,12.96100478944107,tear-enriched
P01042,8,100468075,287,957829.986933798,6.712750329500761,tear-enriched
P01591,8,10536391250,275,119022.46938143643,16.433775221932272,tear-enriched
P01597,7,36506842.85714286,72,9308.361802842883,11.937197059572458,tear-enriched
P01599,8,34344962.5,123,5752.722576606564,12.54331526951846,tear-enriched
P01619,8,2864388750,283,97873.01829286177,14.836941849171357,tear-enriched
P01700,8,818522750,179,25263.541798682185,14.9836208815261,tear-enriched
P01766,5,165125800,29,2365.8460988011852,16.09024013453196,tear-enriched
P01780,8,503524125,230,15068.012222422723,15.02818843413446,tear-enriched
P01833,8,13947212500,83,581.7281883883189,24.512578471937374,tear-enriched
P01834,8,14041362500,288,506535.0186979506,14.758658548869814,tear-enriched
P01859,8,6440416250,286,482814.8494966947,13.703393277306681,tear-enriched
