protein,n_present,mean_abundance
A0A075B6H7,8,2038633750
A0A075B6K4,7,20218771.42857143
A0A075B6K5,8,296381750
A0A075B6P5,8,725880500
A0A075B6S5,8,52534875
A0A075B6S6,4,9604880
A0A0A0MRZ8,8,1303219375
A0A0A0MS15,8,224387125
A0A0B4J1X5,8,961683500
A0A0B4J2D9,8,75345962.5
A0A0C4DH25,5,114640160
A0A0C4DH29,8,77878961.25
A0A0C4DH31,8,1126485225
A0A0C4DH35,8,169104875
A0A0C4DH38,8,57515075
A0A0C4DH41,8,194222375
A0A0C4DH72,8,46824675
A0A0J9YX35,8,90079587.5
A0A2R8Y4L2,6,18783750
A0M8Q6,8,4044923750
A5A3E0,8,739826750
A6NIZ1,1,3705190
A6NM10,2,16833550
B9A064,8,6821872500
O00148,7,19680585.714285713
O00151,8,89719325
O00299,8,55231512.5
O00391,8,101352550
O00560,7,15633400
O00584,8,34585462.5
O14745,8,31348537.5
O14818,7,7542967.142857143
O14907,8,13026587.5
O14950,8,97615775
O43175,8,38957900
O43242,5,3729926
O43488,6,6291016.666666667
O43653,5,44284660
O43707,8,128468000
O60437,4,5555512.5
O60664,8,26304887.5
O60814,8,62477346.25
O60888,8,72388375
O75083,8,175235500
O75368,8,19427675
O75556,8,28167725000
O75629,2,4569360
O75874,8,165755875
O95239,0,NA
O95336,8,88746125
O95834,8,31200100
O95968,8,12425812500
O95994,8,113950812.5
P00326,8,105070725
P00338,8,538053375
P00350,0,NA
P00352,8,449151750
P00363,0,NA
P00370,0,NA
P00390,8,237824625
P00393,0,NA
P00403,5,60392240
P00441,8,88916012.5
P00448,1,9487110
P00450,8,601925125
P00452,0,NA
P00490,0,NA
P00509,0,NA
P00550,0,NA
P00558,8,259199250
P00561,0,NA
P00562,0,NA
P00579,0,NA
P00582,0,NA
P00722,0,NA
P00734,8,44796950
P00738,8,1162028625
P00747,8,64193237.5
P00751,8,56079025
P00805,0,NA
P00864,0,NA
P00887,0,NA
P00934,0,NA
P00946,0,NA
P00954,0,NA
P00956,0,NA
P00957,0,NA
P00959,0,NA
P00960,0,NA
P00961,0,NA
P00962,0,NA
P00963,0,NA
P00966,8,178382875
P00968,0,NA
P01008,8,97541700
P01009,8,993476125
P01011,8,307174250
P01019,8,38714731.25
P01023,8,522501875
P01024,8,682587125
P01033,8,64301875
P01034,8,308793500
P01036,8,8844866250
P01037,8,853486000
P01042,8,100468075
P01591,8,10536391250
P01593,8,55158825
P01597,7,36506842.85714286
P01599,8,34344962.5
P01619,8,2864388750
P01624,6,97171300
P01700,8,818522750
P01721,8,35449600
P01743,8,24728025
P01766,5,165125800
P01780,8,503524125
P01833,8,13947212500
P01834,8,14041362500
P01859,8,6440416250
P01860,8,331041375
P01861,8,201001750
P01871,8,1867935000
P01876,8,21781700000
P01877,5,5552656
P01893,6,61327083.333333336
P02358,0,NA
P02359,0,NA
P02413,0,NA
P02452,0,NA
P02533,8,370253625
P02538,8,369224375
P02545,8,20672950
P02647,8,1221796250
P02649,8,22502475
P02652,4,27646825
P02656,8,28191362.5
P02671,8,316313250
P02675,8,287828500
P02679,8,182550000
P02748,8,15005237.5
P02749,8,47935175
P02750,3,7997810
P02751,8,12045528.75
P02760,8,134387375
P02763,8,460876625
P02765,8,146922875
P02766,7,23313085.714285713
P02768,8,57061675000
P02774,8,207957625
P02787,8,1930745000
P02788,8,92297112500
P02790,8,1391542500
P02814,8,263850000
P02924,0,NA
P02925,0,NA
P03018,0,NA
P03841,0,NA
P03973,8,1533540000
P04003,8,54566512.5
P04004,8,256687625
P04036,0,NA
P04075,8,310098875
P04079,0,NA
P04080,8,136546000
P04083,8,972200000
P04114,8,35561137.5
P04155,8,69446712.5
P04196,8,79960875
P04217,8,184494375
P04264,8,2307853750
P04335,0,NA
P04406,8,1364610000
P04425,0,NA
P04430,1,6637220
P04632,8,216853625
P04693,0,NA
P04792,8,2227881250
P04805,0,NA
P04825,0,NA
P04846,0,NA
P04908,8,1585278750
P04951,0,NA
P04982,0,NA
P04983,0,NA
P05023,8,13804521.25
P05026,7,27216342.85714286
P05042,0,NA
P05055,0,NA
P05090,8,174081250
P05109,8,1033675000
P05155,8,80779262.5
P05164,8,54283625
P05194,0,NA
P05387,8,29962012.5
P05459,0,NA
P05783,8,16716800
P05787,8,281104500
P05791,0,NA
P05793,0,NA
P06149,0,NA
P06312,8,938084125
P06396,8,121311875
P06576,8,18170525
P06610,0,NA
P06612,0,NA
P06702,8,201048875
P06703,2,2669785000
P06715,0,NA
P06720,0,NA
P06721,0,NA
P06727,8,73175175
P06733,8,756610250
P06737,6,107246133.33333333
P06744,8,41370625
P06959,0,NA
P06961,0,NA
P06968,0,NA
P06983,0,NA
P06986,0,NA
P06987,0,NA
P06988,0,NA
P06992,0,NA
P06999,2,1330510
P07003,0,NA
P07004,0,NA
P07012,0,NA
P07014,0,NA
P07023,0,NA
P07024,0,NA
P07118,0,NA
P07195,1,832613
P07203,8,61941737.5
P07237,8,26505350
P07339,8,194245875
P07355,8,777738375
P07384,8,211736000
P07395,0,NA
P07437,6,10357080
P07464,0,NA
P07477,0,NA
P07602,8,140810625
P07604,0,NA
P07639,0,NA
P07650,0,NA
P07711,8,23222637.5
P07737,8,273609375
P07741,8,75479025
P07762,0,NA
P07813,0,NA
P07858,8,296279750
P07862,0,NA
P07900,8,75786587.5
P07913,0,NA
P08174,7,22412014.285714287
P08178,0,NA
P08179,0,NA
P08192,0,NA
P08194,0,NA
P08200,0,NA
P08238,7,35948328.571428575
P08246,7,7593874.285714285
P08311,8,73168575
P08312,0,NA
P08390,0,NA
P08506,0,NA
P08571,8,49432375
P08603,8,72369362.5
P08622,0,NA
P08670,8,9881348.75
P08727,8,2541303750
P08729,8,219511375
P08758,8,156575250
P08779,8,54363437.5
P08839,0,NA
P08865,8,28315937.5
P08957,0,NA
P08997,0,NA
P09030,0,NA
P09053,0,NA
P09127,0,NA
P09147,0,NA
P09148,0,NA
P09151,0,NA
P09158,0,NA
P09211,8,763952375
P09228,8,156475500
P09323,0,NA
P09372,0,NA
P09373,0,NA
P09394,0,NA
P09424,0,NA
P09467,8,33949237.5
P09525,8,26277137.5
P09546,0,NA
P09551,0,NA
P09758,8,22949162.5
P09831,0,NA
P09832,0,NA
P09960,7,17968700
P0A698,0,NA
P0A6A3,0,NA
P0A6A6,0,NA
P0A6A8,0,NA
P0A6B4,0,NA
P0A6B7,0,NA
P0A6D0,0,NA
P0A6D3,0,NA
P0A6D7,0,NA
P0A6E4,0,NA
P0A6E6,0,NA
P0A6F1,0,NA
P0A6F3,0,NA
P0A6F5,0,NA
P0A6F9,0,NA
P0A6G3,0,NA
P0A6G7,0,NA
P0A6H1,0,NA
P0A6H5,0,NA
P0A6I0,0,NA
P0A6I3,0,NA
P0A6J5,0,NA
P0A6J8,0,NA
P0A6K1,0,NA
P0A6K3,0,NA
P0A6K6,0,NA
P0A6L0,0,NA
P0A6L2,0,NA
P0A6M8,0,NA
P0A6N4,0,NA
P0A6N8,0,NA
P0A6P1,0,NA
P0A6P5,0,NA
P0A6P7,0,NA
P0A6P9,0,NA
P0A6Q3,0,NA
P0A6R0,0,NA
P0A6S7,0,NA
P0A6T1,0,NA
P0A6T5,0,NA
P0A6U5,0,NA
P0A6U8,0,NA
P0A6V1,0,NA
P0A6V8,0,NA
P0A6W5,0,NA
P0A6W9,0,NA
P0A6X7,0,NA
P0A6Y1,0,NA
P0A6Y5,0,NA
P0A6Y8,0,NA
P0A6Z1,0,NA
P0A6Z3,0,NA
P0A705,0,NA
P0A707,0,NA
P0A715,0,NA
P0A717,0,NA
P0A722,0,NA
P0A725,0,NA
P0A729,0,NA
P0A734,0,NA
P0A742,0,NA
P0A744,0,NA
P0A749,0,NA
P0A759,0,NA
P0A761,0,NA
P0A763,0,NA
P0A780,0,NA
P0A784,0,NA
P0A786,0,NA
P0A794,0,NA
P0A796,0,NA
P0A799,0,NA
P0A7A2,0,NA
P0A7A9,0,NA
P0A7B1,0,NA
P0A7B5,0,NA
P0A7B8,0,NA
P0A7C2,0,NA
P0A7C6,0,NA
P0A7D1,0,NA
P0A7D4,0,NA
P0A7D7,0,NA
P0A7E1,0,NA
P0A7E5,0,NA
P0A7F3,0,NA
P0A7G6,0,NA
P0A7I0,0,NA
P0A7I4,0,NA
P0A7J3,0,NA
P0A7J7,0,NA
P0A7K2,0,NA
P0A7K6,0,NA
P0A7L0,0,NA
P0A7L3,0,NA
P0A7L8,0,NA
P0A7M2,1,80653900
P0A7M6,0,NA
P0A7M9,0,NA
P0A7N4,0,NA
P0A7N9,0,NA
P0A7R1,0,NA
P0A7R5,0,NA
P0A7R9,0,NA
P0A7S3,0,NA
P0A7S9,0,NA
P0A7T3,0,NA
P0A7T7,0,NA
P0A7U3,0,NA
P0A7U7,0,NA
P0A7V0,0,NA
P0A7V3,0,NA
P0A7V8,0,NA
P0A7W1,0,NA
P0A7W7,0,NA
P0A7X3,0,NA
P0A7X6,0,NA
P0A7Y8,0,NA
P0A7Z0,0,NA
P0A7Z4,0,NA
P0A800,0,NA
P0A805,0,NA
P0A812,0,NA
P0A817,0,NA
P0A821,0,NA
P0A825,0,NA
P0A832,0,NA
P0A836,0,NA
P0A840,0,NA
P0A847,0,NA
P0A850,0,NA
P0A853,0,NA
P0A855,0,NA
P0A858,0,NA
P0A862,0,NA
P0A867,0,NA
P0A870,0,NA
P0A873,0,NA
P0A877,0,NA
P0A879,0,NA
P0A881,0,NA
P0A884,0,NA
P0A8A0,0,NA
P0A8A2,0,NA
P0A8A8,0,NA
P0A8B5,0,NA
P0A8C4,0,NA
P0A8D6,0,NA
P0A8E1,0,NA
P0A8E7,0,NA
P0A8F0,0,NA
P0A8F8,0,NA
P0A8G3,0,NA
P0A8G6,0,NA
P0A8G9,0,NA
P0A8H6,0,NA
P0A8H8,0,NA
P0A8I5,0,NA
P0A8J2,7,6770082857.142858
P0A8J4,0,NA
P0A8J8,0,NA
P0A8K5,0,NA
P0A8L1,0,NA
P0A8M0,0,NA
P0A8M3,0,NA
P0A8M6,0,NA
P0A8N3,0,NA
P0A8N5,0,NA
P0A8P3,0,NA
P0A8R0,0,NA
P0A8R4,0,NA
P0A8S1,0,NA
P0A8T1,0,NA
P0A8T7,0,NA
P0A8V0,0,NA
P0A8V2,1,7776340
P0A8W2,0,NA
P0A8W8,0,NA
P0A8X0,0,NA
P0A8X2,0,NA
P0A8Y3,0,NA
P0A8Y5,0,NA
P0A905,0,NA
P0A910,0,NA
P0A940,0,NA
P0A953,0,NA
P0A955,0,NA
P0A962,0,NA
P0A972,0,NA
P0A991,0,NA
P0A993,0,NA
P0A9A6,0,NA
P0A9A9,0,NA
P0A9B2,0,NA
P0A9C0,0,NA
P0A9C3,0,NA
P0A9C5,0,NA
P0A9C9,0,NA
P0A9D2,0,NA
P0A9D4,0,NA
P0A9D8,0,NA
P0A9F3,0,NA
P0A9G2,0,NA
P0A9G6,0,NA
P0A9H1,0,NA
P0A9J0,0,NA
P0A9J6,0,NA
P0A9J8,0,NA
P0A9K3,0,NA
P0A9K9,0,NA
P0A9L3,0,NA
P0A9L8,0,NA
P0A9M0,0,NA
P0A9M2,0,NA
P0A9M5,0,NA
P0A9M8,0,NA
P0A9N4,0,NA
P0A9P0,0,NA
P0A9P4,0,NA
P0A9Q1,0,NA
P0A9Q5,0,NA
P0A9Q7,0,NA
P0A9Q9,0,NA
P0A9R4,0,NA
P0A9S1,0,NA
P0A9T0,0,NA
P0A9U3,0,NA
P0A9W3,0,NA
P0A9X4,0,NA
P0A9X9,0,NA
P0A9Y6,0,NA
P0A9Z1,0,NA
P0AA04,0,NA
P0AA10,0,NA
P0AA16,0,NA
P0AA25,0,NA
P0AA31,0,NA
P0AA43,0,NA
P0AA89,0,NA
P0AAB6,0,NA
P0AAC0,0,NA
P0AAE0,0,NA
P0AAG0,0,NA
P0AAG8,0,NA
P0AAI3,0,NA
P0AAI5,0,NA
P0AAI9,0,NA
P0AAN5,0,NA
P0AAP3,0,NA
P0AAQ2,0,NA
P0AAR3,0,NA
P0AAT9,0,NA
P0AAV4,0,NA
P0AAV6,0,NA
P0AAX8,0,NA
P0AAZ7,0,NA
P0AB14,0,NA
P0AB24,0,NA
P0AB28,0,NA
P0AB61,0,NA
P0AB65,0,NA
P0AB71,0,NA
P0AB77,0,NA
P0AB80,0,NA
P0AB89,0,NA
P0AB91,0,NA
P0ABA0,0,NA
P0ABA4,0,NA
P0ABA6,0,NA
P0ABB0,0,NA
P0ABB4,0,NA
P0ABC3,0,NA
P0ABC7,0,NA
P0ABD5,0,NA
P0ABD8,0,NA
P0ABF1,0,NA
P0ABF6,0,NA
P0ABH7,0,NA
P0ABH9,0,NA
P0ABJ1,0,NA
P0ABJ9,0,NA
P0ABK5,0,NA
P0ABP8,0,NA
P0ABQ0,0,NA
P0ABQ2,0,NA
P0ABQ4,0,NA
P0ABS1,0,NA
P0ABT2,0,NA
P0ABU2,0,NA
P0ABU5,0,NA
P0ABZ6,0,NA
P0AC02,0,NA
P0AC13,0,NA
P0AC19,0,NA
P0AC33,0,NA
P0AC38,0,NA
P0AC41,0,NA
P0AC51,0,NA
P0AC53,0,NA
P0AC59,0,NA
P0AC62,0,NA
P0AC69,0,NA
P0AC81,0,NA
P0AC84,0,NA
P0AC86,0,NA
P0ACA1,0,NA
P0ACA3,0,NA
P0ACB2,0,NA
P0ACB7,0,NA
P0ACC3,0,NA
